2019-04-15 22:46:29,"@SenSanders .@SenSanders adjusted gross income &amp; federal tax rate

2009: $314,742  18%
2010: $321,596  19%
2011: $3… https://t.co/Ih506pBdhB",,
2019-04-15 22:45:15,@BernieSanders on @FoxNews was a huge mistake! I hate him even more to see his bitter ass challenging-his hosts on… https://t.co/MgOzQtWLab,NATIONALIST California💖,
2019-04-15 22:45:05,"@NygmaMister @CNN @marwilliamson Shows how much you know, I think you better do some actual research and think agai… https://t.co/oaXSBWujkQ",ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
2019-04-15 22:42:58,"#AndrewYang, a technology entrepreneur, describes the threat to retail and truck drivers from automation and robotics. #Election2020","Atlanta, GA",
2019-04-15 22:42:48,"The pot's lid is calling the kettle black.

#kellyanneconway #campaign2020 #Election2020 

https://t.co/hgQlWLyira","Georgia, USA",
2019-04-15 22:41:55,"Bernie Sanders releases 10 years of tax returns. They actually show that he ""remains one of the LEAST WEALTHY membe… https://t.co/0wY1POArF7",Michigan,
2019-04-15 22:41:17,@NygmaMister @CNN @marwilliamson We fought in every war and have been here since the countries inception...in the w… https://t.co/LMZlAVAvkA,ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
2019-04-15 22:41:09,"@FrancisWegner @dfittro @realDonaldTrump The Trump ""I Don't Give a Fuck"" approach that he's working on if he loses… https://t.co/FN6poZXy0f","Davis, CA",
2019-04-15 22:40:43,"ICMYI, my new #RealityChek post looks at #MayorPete's economic record in #SouthBend and explains its tough to eithe… https://t.co/af3eVA8kQD","Riverdale Park, MD ",
2019-04-15 22:39:22,#Warren2020 #Election2020 #CandidateExperience Spotlight: Warren and Harris ​w/ @Maddow @tmbsfm with… https://t.co/3ciD9ZRwIj,,
2019-04-15 22:38:29,"@NateSilver538 Less attention for women &amp; candidates of color, why? It’s the same media that validated reality tv t… https://t.co/8wmbvYN0Dw",France,
2019-04-15 22:38:13,@MartinOMalley endorsing @BetoORourke is my #MondayMotivation.                                   #Beto2020… https://t.co/q1xet5TU3B,"New Hampshire, USA",
2019-04-15 22:36:54,"@realDonaldTrump #GOPTaxScam has hurt most Americans, including #Veterans This #TaxDay if you do not have more in y… https://t.co/KZIMP0Qz6v",,
2019-04-15 22:36:44,"They only donated 3% to charity and, AND they can voluntarily pay more #taxes without being forced to but they choo… https://t.co/6EMqdJr5cs",,
2019-04-15 22:35:32,#TheResistance #Election2020 ~ Former Massachusetts governor William Weld will run against Trump for 2020 Republica… https://t.co/a3TSTU37RE,"New York, USA",
2019-04-15 22:35:27,Always great to be with my @MCYD317 family!  With their support I am confident we will elect the first out #LGBTQ+… https://t.co/MrbinwztPG,"Indianapolis, IN",
2019-04-15 22:34:35,The only time I’ll ever watch state propaganda - I mean Fox News #BernieSanders #berniesanderstownhall #TownHall… https://t.co/BBzqhFSYMY,"Portsmouth, RI",
2019-04-15 22:34:05,"The 2020 election comes down to these states for both Dems and Republicans. Pennsylvania, Iowa, Michigan, Wisconsin… https://t.co/ffTCzDd3WU",Los Angeles ,
2019-04-15 22:33:54,Always great to be with my @MCYD317 family!  With their support I am confident we will elect the first out #LGBTQ+… https://t.co/6TExaQxaLh,Indianapolis,
2019-04-15 22:32:40,"As the #Election2020 approaches, we'll be sharing information about opportunities to connect with candidates challe… https://t.co/HH6DRnSgRF",Colorado,
2019-04-15 22:30:23,"Will NM face a nasty Democratic primary fight for Senator?
Luján vs Toulouse   https://t.co/pZFuVjMQFd 

#NM… https://t.co/Qlr7Jw7dxF",San Francisco,
2019-04-15 22:30:13,Rep. Salud Carbajal and Sen. #KamalaHarris reintroduce bill to designate Central Coast wilderness areas… https://t.co/AB8NW1p3on,,
2019-04-15 22:29:24,"@SenSanders .@SenSanders charitable giving per AGI

2009: 1.9%
2010: 1.8%
2011: 1.7%
2012: 0.7%
2013: 2.4%
2014: 4.… https://t.co/ISnrvzADjY",,
2019-04-15 22:26:06,@prvnceogo Reparations are due to Descendants of AMERICAN Chattel Slavery...not Africans or any other Black Immigra… https://t.co/mYA3KsnfFc,ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
