2019-04-18 16:05:44,Anyone up for a 1v1 #Fortnite,,
2019-04-18 16:05:36,"Wait a minute

New season 8 skin is called ruin

Epic have now ruined week 8 challenges forcing players into solos,… https://t.co/MQx2A12RX2","Lives in Paignton,Devon UK",
2019-04-18 16:05:13,Doing the dance on my ballon....... #Fortnite #XboxShare https://t.co/KcDxSNsw9S,,
2019-04-18 16:04:53,"Who needs a new player #fortnite 🤪🔥
https://t.co/GPKNsclOU3",Oof,
2019-04-18 16:04:34,"This guy got away while i shot the quad, spray and pray... Ppl still do that 😂 #Fortnite #XboxShare https://t.co/4PYDuJK5OD","Kildare, Ireland",
2019-04-18 16:04:33,"150 ping? We still hit those ;)

●
#FortniteBR #XboxShare #Gaming #Twitch #Youtube #Clips #Fortnite #BattleRoyale… https://t.co/Mhk3jLhTRj",,
2019-04-18 16:04:26,"WEEK 8 CHALLENGES MAP AKA GIMME THE RUIN SKIN WEEK

As always I turn to @thesquatingdog for the map 🗺️🧭 that helps… https://t.co/pWQDPmDIS9",Use Code: TheFlashHayden,
2019-04-18 16:04:16,"🔴 #Fortnite tweeted, Introducing Fortnite World Cup - Creative!

Compete in Creative Trials to earn a spot at the F… https://t.co/qIHSzRMdbs",France,
2019-04-18 16:04:14,@FortniteGame BRING BACK TEAM RUMBLE! #Fortnite,"Southern Illinois, USA",
2019-04-18 16:04:08,"@manukumarjain @Qualcomm Hey Sir #Fortnite Isn't That Important,Please Bring Quick Charge 4.0 Adapter To India.Most… https://t.co/qFAGfWCURf","Bhadrak, India",
2019-04-18 16:04:07,The #Fortnite week 8 challenges are now live! Check them out in the pic below! https://t.co/ik6wF1RO9f,"Mannheim, Germany",
2019-04-18 16:04:01,"📺:https://t.co/nynWGWOQsf

So I played Fortnite on a GameCube!! Go Watch

#Fortnite #FortniteProPlayer… https://t.co/5OqpbbA4hO",Inside,
2019-04-18 16:03:57,‘Fortnite’ Jigsaw Puzzle Piece Locations in Bridges &amp; Caves Week 8 Guide - read full story on… https://t.co/2In9Iyntc4,USA,
2019-04-18 16:03:49,#Fortnite #XboxShare best teammate ever https://t.co/ar1dKZwzGv,"Illinois, USA",
2019-04-18 16:03:26,Ghoul and Renegade//PayPal//FA//Mergable//Can Show I’m legit💯 #fortnite #ghoultrooper #renegaderaider #paypal… https://t.co/G1hYCFdfR9,Get smacked off,
2019-04-18 16:03:08,"PlayStation:Stylish cel-shaded FPS, XIII, returns looking even sharper: https://t.co/mtWJj50BEC Coming to PS4 Novem… https://t.co/WnxMteNtyV",,
2019-04-18 16:03:08,"Most annoying thing about stw fortnite is the brats with no manners coming in asking to trade. No hi, no how are yo… https://t.co/pDlkaoLU1f",Hell,
