2019-04-15 23:31:45,If #IllegalAliens voted for #Republicans https://t.co/aVG31PWSua,United States of Amerika,
2019-04-15 23:31:19,"#IllegalAliens be sure to stop by @cher house in #LosAngeles and make yourselfs at home!
She wouldn't want to be ac… https://t.co/ZhQA6lrgxD","Michigan, USA",
2019-04-15 23:29:02,"@KamalaHarris Did you EVER call the family of Ronil Singh?

⛔ Liberals have lost their mind AND HEARTS!!… https://t.co/78e1tjsacC",IMBY,
2019-04-15 23:31:45,If #IllegalAliens voted for #Republicans https://t.co/aVG31PWSua,United States of Amerika,
2019-04-15 23:31:19,"#IllegalAliens be sure to stop by @cher house in #LosAngeles and make yourselfs at home!
She wouldn't want to be ac… https://t.co/ZhQA6lrgxD","Michigan, USA",
2019-04-15 23:29:02,"@KamalaHarris Did you EVER call the family of Ronil Singh?

⛔ Liberals have lost their mind AND HEARTS!!… https://t.co/78e1tjsacC",IMBY,
2019-04-16 20:17:23,@SenKamalaHarris A San Jose family's security camera captured footage of the man arrested in the brutal slaying of… https://t.co/P9aOrHaOuE,IMBY,
2019-04-16 20:00:19,We Don't Enjoy Denying Nigerians Visa - U.S. Embassy https://t.co/BOXvExpsxw #Nigeria #AsktheConsul #USVisa https://t.co/4qPfkLLopV,Africa,
2019-04-16 19:59:41,"@Pismo_B @lindaluvinlife1 DeBlasio: “Dumping #IllegalAliens in #SanctuaryCities is illegal!”
America: “Cite the law… https://t.co/OKm2v1D31b",California,
2019-04-16 19:45:27,https://t.co/pFuAODSZvb see video Obama said he would send them back. #BorderCrisis #Immigrants #IllegalAliens #children,"Boulder, CO",
2019-04-16 19:37:29,Former ICE Director Tom Homan Makes The Case For Trump’s Sanctuary City Plan https://t.co/95z9Pfm1Ea #illegalaliens… https://t.co/cuKu52XJ1n,USA,
2019-04-16 19:35:16,"This idiot @RBReich claims #IllegalAliens pay 24 billion in taxes.. But to do that, they’ve STOLEN identities, caus… https://t.co/qWM273Zvnn",USA,
2019-04-16 19:33:40,There You Have It Now We Know @cspanwj about @cher stating what honest 🗽 Patriots have known for decades about… https://t.co/Gp950cTrrH,Events in 2019 & Beyond,
2019-04-16 19:23:39,".@TheDemocrats &amp; ALL others who pander to #IllegalImmigrants / #IllegalAliens ,take heed. #WeThePeople WILL… https://t.co/tcK5lajlL2",🇺🇸GodBlessUSA!🇺🇸,
2019-04-16 19:09:12,"PHOTOS: Group of 170 Migrants** Surrender at Texas Border https://t.co/0cvE826PkH via @BreitbartTexas

**… https://t.co/9L1UCchE6j","California, USA",
2019-04-16 19:07:33,@HillaryClinton @WomenintheWorld @FareedZakaria The administration you were apart of didn't want to reasonably deal… https://t.co/MO2cKMiKRH,,
2019-04-16 19:06:37,NY: Seven Mexican Nationals Apprehended After Crossing Canadian Border https://t.co/rJs3RIWtG4 via @BreitbartTexas… https://t.co/rFrfT5PLdn,"California, USA",
2019-04-16 19:04:27,@JerryPa74973070 @FoxNewsSunday @PressSec I'm going to. Haven't you heard? Signed up for #Spaceforce. I'm getting m… https://t.co/VZjmZJkKyN,"Arkansas, USA",
2019-04-16 18:48:10,"@Pikl4Judge @bayareahausfrau I've been saying the same thing for months: Referring to #illegalaliens as ""immigrants… https://t.co/CjDVFEAUVx",Socialist Republic of Alachua,
2019-04-16 18:45:48,"""Sleeper Cells:"" 10,000 Illegal Aliens From Terrorist Nations Roam Free In US | Zero Hedge https://t.co/fFAmx7vnZT… https://t.co/0RqnGIOq9U","Santa Barbara, CA",
2019-04-16 18:41:38,"May 2019 Visa Bulletin – EB-1 China and India Remain Stalled, Future Retrogression Possible https://t.co/HK9vsDou5v… https://t.co/8K86oZ02QW",,
2019-04-16 18:37:09,@MiamiHerald @realDonaldTrump @RonDeSantisFL Thank You Mr.President Trump #MAGA #KAG #LatinosForTrump 🇵🇷🇨🇺🇻🇪🇳🇮… https://t.co/C3TVYwyitb,"Goulds, FL",
2019-04-16 18:35:00,"@lupulinous @ErikaAndiola @RAICESTEXAS you said above I am a racist, because I am anti #IllegalAliens.  I am not a racist in any way",Western NY,
2019-04-16 18:30:09,"#Fragomen Partner Andrew Greenfield &amp; Rebecca Peters, Dir. of Policy Engagement at @SHRM discuss the changing US im… https://t.co/rBrC3YNeAh",,
2019-04-16 18:27:53,@DonaldJTrumpJr @MayorPete A San Jose family's security camera captured footage of the man arrested in the brutal s… https://t.co/dCkIwCnExx,IMBY,
2019-04-16 18:21:07,@GovBrewer @SidneyPowell1 @realDonaldTrump Exactly! Arizona is NOT a Sanctuary State! Phoenix is NOT a Sanctuary Ci… https://t.co/fVJzpcUghv,Valley of the Sun,
2019-04-16 18:07:35,"Anyone else confused?

Dems WANT illegal immigrants to help them win elections.

So our response is to...hand deliv… https://t.co/Jhl7DZFOgI",United States,
2019-04-16 18:06:55,@GavinNewsom California is the most socio-economically segregated state in the Union. We basically have the wealthy… https://t.co/003MQAnxCP,,
2019-04-16 18:02:28,"#Amnesty Invasion
Over 750,000 work permits handed out to largely bogus #asylum applicants
by Daniel Horowitz… https://t.co/7jyZKnIorY","NW Washington state, USA🇺🇸",
2019-04-16 18:00:20,"@KaitMarieox @BernieSanders The old comrade from #Vermont is done now, the leftist progressive Marxist Alinsky anti… https://t.co/fKwJkEU8Oq","New Hampshire, USA",
2019-04-16 17:57:13,Supreme Court to Consider Whether States Can Prosecute Identity Theft With Information Included in Form I-9… https://t.co/ZPN98jJyXH,New York,
2019-04-16 17:53:16,Commonsense tells me; People who fail to get #vaccinated are only endangering themselves.. If you’re not vaccinated… https://t.co/uYiBtPfCPy,USA,
2019-04-16 17:45:20,"@AnnCoulter @realDonaldTrump @realDonaldTrump
 please listen to Ann and Daniel 
@RMConservative
 on Immigration bec… https://t.co/tXI5vjRd4N",,
2019-04-16 17:44:15,"I wish Bernie would move there if he LOVES Venezuela so much and LEAVE
AMERICA
ALONE!!
#NeverBernie 
We will NEVER… https://t.co/RouofGQ2ky","Pennsylvania, USA",
2019-04-16 17:42:24,#IllegalAliens do NOT pay taxes. The U.S. uses Social Security numbers for everything. If you don't have an S.S. #… https://t.co/TFgmLpWdrY,,
2019-04-16 17:41:15,@MarianDClough @gatewaypundit #Obamacare taking $ from people WITH some &amp; sharing it with those not eligible?#IllegalAliens anchor babies?,,
2019-04-16 17:41:07,taxes r 4 thee not me &amp; #IllegalAliens r for democrat votes but jus don't stash em in my liberal city/hood schools.… https://t.co/S6cJ3HfCGR,,
2019-04-16 17:33:31,@ScottPresler Breaking - #IllegalAliens rapist on his way to #EvilDems #Left #Hollywood Districts!!!,"California, USA",
2019-04-16 17:32:38,@HillaryClinton @WomenintheWorld @FareedZakaria #SecureOurBorder NOW. That is what trump is trying to do in an effo… https://t.co/TSUoCaYdKg,,
2019-04-16 17:32:23,"@ScottPresler This is the kind of #IllegalAliens we will be sending to the Districts of 

#EvilDems
#LeftHate
#HollywoodSwamp","California, USA",
2019-04-16 17:14:05,@cher WOW! even #Trump hating #Cher understands #America cannot accept #illegalAliens-,,
2019-04-16 17:08:29,From the Heart – A.F. Branco Cartoon https://t.co/59yrxcsOy7 #illegalaliens #illegalimmigration #nancypelosi… https://t.co/1h1G6dTpgv,USA,
2019-04-16 17:05:18,Stay in the USA after #graduation - what are your #USvisa options? https://t.co/8iso8HImnJ,London,
2019-04-16 17:01:08,Notice how Democrats always blame someone else for their failure? They raise the taxes to pay for THEIR… https://t.co/gezA22yOxz,,
2019-04-16 16:58:25,When elected officials allow criminals to break laws (enter and remain in the US illegally) they should be held cri… https://t.co/46gmVFMMln,"Boston, MA",
2019-04-16 16:55:52,@Jali_Cat @DHSgov @ICEgov @CBP @hogangidley45 @POTUS @EricTrump @SecPompeo @parscale @GOPLeader @cher #WeThePeople… https://t.co/PBIO6rYRGv,"Donald J Trump Did It 4 US! All 4 $0 A Yr, While DNCs Commie DEM LDRS Resist By Acts Of☠️Traitorism Obstructing R Freedoms,Liberties&Safety",
2019-04-16 16:45:52,"#California #Ca Congresswoman @KatieHill4CA actions show she supports #IllegalAliens voting!
Why else wouldn't she… https://t.co/wnPWyX97MR","Albuquerque, NM",
2019-04-16 16:39:44,We must send a very large contingency of the military and also send independent militias down to the border and hir… https://t.co/JZ3FzlElC5,"IN LIBERAL'S MINDS, Arkansas",
2019-04-16 16:38:43,@GovMurphy @camdencc I don’t believe a single word of what you say. NJ spends more than $4.5 billion on… https://t.co/FRAst1HVuB,NJ,
2019-04-16 16:35:36,#NIMBY #SJW #VirtueSignalling looks like perhaps #SanctuaryCities are not REALLY about welcoming #IllegalAliens or… https://t.co/XUWpsETVqm,"San Francisco, CA",
2019-04-16 16:17:30,From the Heart – A.F. Branco Cartoon https://t.co/59yrxcsOy7 #illegalaliens #illegalimmigration #nancypelosi… https://t.co/6VA4PlexA4,USA,
2019-04-16 16:16:56,@obvious_Anon @Serremmy @56_Jeff @jonz970 @ctanner3 @raducom @RodHillis1 @rerun78sjc @moodav47 @RealWolf72… https://t.co/ow8ffjwCYz,,
2019-04-16 16:16:27,"Here's the zany claptrap the #lunaticLeft would have you believe:
1. #globalwarmingnonsense is real
2. sky-high tax… https://t.co/6LB16bRnwO",,
2019-04-16 16:15:06,"@SpeakerPelosi Nancy Pelosi CNN Question from angel mom....

#AngelMoms #AngelDads #Democrats #BorderCrisis… https://t.co/brN1HsFtVr",IMBY,
2019-04-16 16:13:28,"The key word in this is ""illegal"". They are #IllegalAliens #IllegalImmigrants save this country. We are one electio… https://t.co/fwkjUAjvxt","Downey, CA",
2019-04-16 16:13:03,@mamapeachtoyou @LWHaynes @cher Depends on your Skills. HB1 will get you into the US via employer sponsorship then… https://t.co/w1sz0cZSVZ,"California, USA",
2019-04-16 16:08:46,We've been hearing stories and seeing video of #IllegalAliens being bussed and flown across the country and release… https://t.co/NTFrOfwqwm,Alabama,
2019-04-16 16:01:33,@BlackIrishI @Crazyparklady1 @heidiEC5 @MAGA2ARIGHTS @ramburner1 @LolitaDickinson @HawksEyeView_SI @jjauthor… https://t.co/BuyBLl1sKE,"Hyères, France",
2019-04-16 15:56:04,#IllegalAliens do not belong in USA. Thank you for your vigilance. Our #safety and #sovereignty must be protected a… https://t.co/vCevqHkUGm,"My own woods in, Lexington,VA",
2019-04-16 15:48:18,"#TwitterCensors #ShadowBanned 

Another great video by.@MarkDice 

#IllegalImmigrants
#IllegalAliens 
#2020Election… https://t.co/JYW6E6t15D","Trump NO-GO Zone, 37th L.A. CA",
2019-04-16 15:47:24,Good Job ICE ! Get Rid Of All The #IllegalAliens Now ! #Maga #TRUMP2020 #AmericansFirst #ICE arrests more than 280… https://t.co/uE06nZFLtS,United States,
2019-04-16 15:46:49,My President just got Comrade de Blasio to go to court to keep #IllegalAliens out of #NewYorkCity Is this a great P… https://t.co/U5PcDQmiai,"Henderson, NV",
2019-04-16 15:46:28,@BarbraStreisand I’m sure you have plenty of room to house a group of #IllegalAliens What the hell are you doing to help these people.,United States,
2019-04-16 15:46:10,"@DJMorrison41 
It's #ForThePeople ❓
#Taxpayers money recycled into the economy via #IllegalAliens 

Perhaps FOR #WallStreet? Politicians?",,
2019-04-16 15:45:26,@RBReich one sure way to prevent this is to no encourage #IllegalAliens to come here. #BuildTheDamnWall,"Warren, New Jersey",
2019-04-16 15:43:25,Making me want to boycott and stop donating to the @SalArmyEmpire and who exactly is the Emperor of this self procl… https://t.co/sYiYMAxa4P,"New York, USA",
2019-04-16 15:40:44,Enough is enough. I am running for Washington State Governor in 2020. 0 tolerance on Illegal Immigration. Immigrati… https://t.co/6GZS9Xh0PS,"Seattle, WA",
2019-04-16 15:40:19,I would be willing to donate money to somehow bus illegals to sanctuary cities. Starting with San Francisco and Chi… https://t.co/ALcorlJ3GF,"""United States of America""",
2019-04-16 15:25:50,A Veteran Walks ! Sent #IllegalAliens Back Now So We Can Take Care Of Our American #Veterans Better ! #Trump2020… https://t.co/vyaZbpO7mN,United States,
2019-04-16 15:24:27,Immigrant living in country illegally arrested for rape of seven-year-old https://t.co/iRB6mduG7U via @cbs6  @POTUS… https://t.co/y3Y8HoQqD9,"Long Island, New York",
2019-04-16 15:24:04,Bahaha! You can’t make this stuff up! #IllegalAliens #SanctuaryCityHypocrites https://t.co/O297rflP6Z,,
